case_id,pdf,ocr,dpi,pages,preserve_small,workers,keep_headers_footers,elapsed_seconds,pages_returned,text_chars,word_tokens,numeric_tokens,markdown_table_rows,reference,reference_kind,character_sequence_similarity,word_f1,numeric_f1
q0560_native,ls2026_q0560.pdf,False,150,,False,4,False,0.0391,3,4187,504,81,17,,,,,
q0560_ocr150,ls2026_q0560.pdf,True,150,,False,4,False,2.9687,3,4187,504,81,17,q0560_native,native_text,1.0,1.0,1.0
q0560_ocr300,ls2026_q0560.pdf,True,300,,False,4,False,3.9515,3,4187,504,81,17,q0560_native,native_text,1.0,1.0,1.0
q0560_ocr300_small,ls2026_q0560.pdf,True,300,,True,4,False,4.0022,3,4187,504,81,17,q0560_native,native_text,1.0,1.0,1.0
q1948_native,ls2026_q1948.pdf,False,150,,False,4,False,0.0645,4,7062,771,213,51,,,,,
q1948_ocr150,ls2026_q1948.pdf,True,150,,False,4,False,3.6222,4,7262,771,213,51,q1948_native,native_text,0.9954965097950912,1.0,1.0
q1948_ocr300,ls2026_q1948.pdf,True,300,,False,4,False,4.5045,4,7056,771,213,51,q1948_native,native_text,0.9968432919954904,1.0,1.0
q1948_scan100,ls2026_q1948_raster180_q65.pdf,True,100,,False,4,False,5.2042,4,7721,764,211,53,q1948_native,same_document_native_text,0.9733031674208145,0.9563517915309445,0.9056603773584905
q1948_scan150,ls2026_q1948_raster180_q65.pdf,True,150,,False,4,False,6.5735,4,7398,765,209,42,q1948_native,same_document_native_text,0.9907134767836919,0.9869791666666666,0.9715639810426541
q1948_scan150_w1,ls2026_q1948_raster180_q65.pdf,True,150,,False,1,False,13.4575,4,7398,765,209,42,q1948_native,same_document_native_text,0.9907134767836919,0.9869791666666666,0.9715639810426541
q1948_scan150_w8,ls2026_q1948_raster180_q65.pdf,True,150,,False,8,False,6.9673,4,7398,765,209,42,q1948_native,same_document_native_text,0.9907134767836919,0.9869791666666666,0.9715639810426541
q1948_scan200,ls2026_q1948_raster180_q65.pdf,True,200,,False,4,False,8.6420,4,7262,767,212,37,q1948_native,same_document_native_text,0.9894354197432693,0.9817945383615085,0.9741176470588235
q1948_scan300,ls2026_q1948_raster180_q65.pdf,True,300,,False,4,False,10.9919,4,7243,772,213,34,q1948_native,same_document_native_text,0.9912866357361095,0.9837977965003242,0.971830985915493
q1948_scan300_small,ls2026_q1948_raster180_q65.pdf,True,300,,True,4,False,9.0402,4,7243,772,213,34,q1948_native,same_document_native_text,0.9912866357361095,0.9837977965003242,0.971830985915493
q4519_native,ls2026_q4519.pdf,False,150,"1,2,40,41",False,4,False,0.1359,4,6194,785,445,54,,,,,
q4519_native_headers,ls2026_q4519.pdf,False,150,"1,2,40,41",False,4,True,0.1039,4,6194,785,445,54,q4519_native,native_text_without_headers_footers,1.0,1.0,1.0
q4519_ocr150,ls2026_q4519.pdf,True,150,"1,2,40,41",False,4,False,4.6836,4,6356,785,445,54,q4519_native,native_text,0.9988002399520096,1.0,1.0
q4519_ocr300_small,ls2026_q4519.pdf,True,300,"1,2,40,41",True,4,False,5.0530,4,6248,785,445,54,q4519_native,native_text,0.9990999099909991,1.0,1.0
india1985_no_ocr,india1985_scan_proxy.pdf,False,150,3,False,4,False,0.0018,1,0,0,0,0,gold/india1985_p3.txt,manual_transcription,0.0,0.0,0.0
india1985_ocr100,india1985_scan_proxy.pdf,True,100,3,False,4,False,3.4141,1,1773,217,11,0,gold/india1985_p3.txt,manual_transcription,0.9868035190615836,0.9726027397260274,1.0
india1985_ocr150,india1985_scan_proxy.pdf,True,150,3,False,4,False,4.3240,1,1921,223,11,0,gold/india1985_p3.txt,manual_transcription,0.9967403114813473,0.9864864864864865,1.0
india1985_ocr200,india1985_scan_proxy.pdf,True,200,3,False,4,False,5.0807,1,1890,225,12,3,gold/india1985_p3.txt,manual_transcription,0.9909779862865391,0.9730941704035875,0.8695652173913043
india1985_ocr300,india1985_scan_proxy.pdf,True,300,3,False,4,False,5.6272,1,1854,218,11,0,gold/india1985_p3.txt,manual_transcription,0.9860703812316716,0.9749430523917995,1.0
india1985_ocr300_small,india1985_scan_proxy.pdf,True,300,3,True,4,False,5.4098,1,1854,218,11,0,gold/india1985_p3.txt,manual_transcription,0.9860703812316716,0.9749430523917995,1.0
